Date,Category,Product,Customer,Region,Sales_Rep,Quantity,Unit_Price,Total_Amount,Returned
2024-03-30,Footwear,Boots,Elizabeth Fowler,North,Kiara Mcintyre,3,128.53,385.59,0
2023-06-23,Accessories,Sunglasses,Brian Ramirez,South,Edward Burgess,2,39.07,78.14,0
2023-11-07,Footwear,Boots,Stephanie Ross,East,Heather Fields,4,173.93,695.72,0
2023-04-16,Clothing,Dress,Shelia Wallace,East,Kiara Mcintyre,1,43.9,43.9,0
2023-12-05,Footwear,Sandals,Kenneth Scott,North,Heather Fields,3,125.35,376.05,0
2023-07-21,Accessories,Sunglasses,Steve Sanchez,East,Tanner Mitchell DDS,2,58.81,117.62,0
2023-01-02,Footwear,Sneakers,David Wright,West,Dawn Summers,1,104.39,104.39,1
2023-04-13,Clothing,T-shirt,Marc Moore,East,Megan Le,3,123.44,370.32,0
2023-02-11,Footwear,Sneakers,Jason Stein,West,Edward Burgess,2,91.36,182.72,0
2023-09-08,Accessories,Belt,John Pierce,West,Kiara Mcintyre,1,13.01,13.01,0
2023-04-05,Footwear,Loafers,Jessica Gross,West,Megan Le,2,29.78,59.56,0
2023-01-23,Footwear,Loafers,Sara Johnston,South,Maria Parker,2,182.05,364.1,0
2024-03-04,Footwear,Sneakers,Megan Young,North,Heather Fields,4,26.28,105.12,0
2023-12-09,Footwear,Loafers,William Herrera,North,Kiara Mcintyre,3,86.23,258.69,0
2024-03-06,Footwear,Loafers,Joyce Bowen,South,Carlos Ryan,2,77.45,154.9,0
2023-09-01,Footwear,Sneakers,Elizabeth Perkins,South,Tanner Mitchell DDS,1,168.05,168.05,0
2023-03-03,Footwear,Boots,Daniel Baker,South,Sara Fuller,4,54.41,217.64,0
2023-03-06,Clothing,Dress,Paula Moreno,South,Edward Burgess,2,122.63,245.26,0
2024-02-26,Accessories,Bag,Mary Marshall,North,Kevin Oconnor,4,71.62,286.48,0
2023-02-14,Footwear,Loafers,Jessica Garcia,East,Kevin Oconnor,2,19.94,39.88,0
2023-09-24,Footwear,Sneakers,Colin Terry,North,Edward Burgess,2,115.98,231.96,0
2023-08-01,Clothing,Jeans,David Smith,North,Dawn Summers,2,73.38,146.76,0
2023-02-24,Accessories,Watch,Victoria Larson,East,Kiara Mcintyre,2,191.95,383.9,0
2024-03-25,Footwear,Sandals,Daniel Salinas,West,Carlos Ryan,3,153.42,460.26,0
2023-01-20,Clothing,Jacket,Bryan Herrera,West,Megan Le,2,28.37,56.74,0
2023-01-20,Footwear,Sandals,Kenneth Scott,West,Tanner Mitchell DDS,4,10.23,40.92,0
2023-05-18,Footwear,Sneakers,Joshua Cooke,East,Maria Parker,4,161.14,644.56,1
2023-05-24,Footwear,Sneakers,William Herrera,East,Megan Le,1,32.77,32.77,1
2024-01-16,Footwear,Sandals,Courtney Gonzalez,North,Edward Burgess,2,198.57,397.14,1
2023-04-07,Footwear,Boots,Dr. William Warren,East,Carlos Ryan,4,56.29,225.16,0
2024-02-25,Clothing,Sweater,Mike Allen,East,Heather Fields,4,128.48,513.92,0
2023-12-30,Accessories,Sunglasses,William Baker,North,Kiara Mcintyre,3,174.29,522.87,0
2023-03-30,Clothing,Jeans,Anthony Rodriguez,North,Sara Fuller,4,158.59,634.36,0
2023-08-22,Clothing,Jacket,Cameron Parker,East,Maria Parker,2,32.35,64.7,0
2024-02-26,Footwear,Loafers,Donald Wright,South,Tanner Mitchell DDS,1,78.43,78.43,0
2023-07-10,Footwear,Loafers,Matthew Mcmillan,East,Carlos Ryan,3,55.42,166.26,0
2023-06-26,Clothing,Jacket,John Pierce,North,Maria Parker,3,85.43,256.29,0
2023-07-17,Clothing,Jeans,Jeremy Reed,South,Sara Fuller,4,175.93,703.72,0
2023-11-28,Clothing,Jeans,Courtney Gonzalez,North,Edward Burgess,2,104.42,208.84,1
2024-03-18,Accessories,Watch,Kevin Walters,South,Megan Le,1,84.3,84.3,0
2023-11-04,Clothing,Jeans,Megan Orr,East,Dawn Summers,1,32.11,32.11,0
2023-12-31,Accessories,Belt,Rodney Morales,East,Edward Burgess,3,138.12,414.36,0
2023-08-24,Footwear,Boots,Sara Johnston,West,Maria Parker,2,163.13,326.26,0
2023-10-27,Clothing,T-shirt,Desiree Tyler,East,Kevin Oconnor,4,165.56,662.24,0
2023-06-02,Accessories,Watch,Krista Gibson,East,Heather Fields,3,42.97,128.91,0
2023-05-22,Accessories,Belt,David Douglas Jr.,East,Maria Parker,2,191.89,383.78,0
2023-04-07,Clothing,Sweater,Michelle Harmon,West,Tanner Mitchell DDS,2,166.27,332.54,0
2023-12-05,Footwear,Boots,Michele Williams,East,Carlos Ryan,2,69.61,139.22,0
2023-05-13,Footwear,Loafers,Adam Vaughan,South,Tanner Mitchell DDS,1,125.19,125.19,0
2023-06-25,Accessories,Bag,Shelly Alexander,East,Carlos Ryan,1,70.33,70.33,1
2023-09-17,Footwear,Boots,Elaine Brooks,East,Megan Le,2,37.81,75.62,0
2023-02-19,Footwear,Boots,Mary Marshall,South,Kiara Mcintyre,4,100.86,403.44,0
2023-12-15,Footwear,Sneakers,Crystal Johnson,South,Kevin Oconnor,3,192.99,578.97,0
2024-01-17,Footwear,Loafers,Daniel Murphy,East,Kevin Oconnor,4,33.19,132.76,0
2023-10-27,Footwear,Loafers,Victoria Garcia,North,Carlos Ryan,3,106.17,318.51,0
2024-03-19,Accessories,Watch,Matthew Moon,North,Sara Fuller,4,171.78,687.12,0
2024-03-20,Accessories,Sunglasses,Veronica Simpson,West,Maria Parker,3,127.72,383.16,0
2023-01-28,Clothing,Jeans,Rebecca Valencia,West,Kevin Oconnor,3,83.43,250.29,0
2023-10-19,Footwear,Boots,Jennifer Adkins,North,Megan Le,2,97.36,194.72,0
2023-09-07,Footwear,Boots,Paul Castaneda,North,Tanner Mitchell DDS,3,153.31,459.93,0
2023-08-20,Footwear,Boots,Shirley Suarez,South,Dawn Summers,3,196.9,590.7,0
2023-09-08,Clothing,Jeans,Elizabeth Oliver DDS,West,Edward Burgess,3,24.18,72.54,0
2023-08-08,Footwear,Loafers,Angie Henderson,South,Tanner Mitchell DDS,2,29.2,58.4,0
2024-01-10,Footwear,Sneakers,Michael Powell,South,Kiara Mcintyre,4,127.43,509.72,0
2023-01-10,Accessories,Watch,Jason Powell,East,Sara Fuller,4,164.65,658.6,0
2023-06-09,Clothing,T-shirt,Daniel Salinas,East,Kiara Mcintyre,4,43.01,172.04,0
2023-03-27,Clothing,T-shirt,Denise Jones,West,Maria Parker,2,90.96,181.92,0
2024-01-08,Accessories,Belt,Elizabeth Oliver DDS,East,Megan Le,4,86.91,347.64,0
2023-09-08,Footwear,Boots,Zachary Ferrell,North,Edward Burgess,3,79.87,239.61,0
2023-04-27,Clothing,Jeans,Evelyn Galvan,South,Tanner Mitchell DDS,2,43.61,87.22,0
2023-03-05,Footwear,Sneakers,Debra Christian,North,Maria Parker,1,12.1,12.1,0
2023-11-01,Clothing,T-shirt,Monica Herrera,North,Tanner Mitchell DDS,3,89.53,268.59,0
2023-08-02,Footwear,Loafers,Donald Wright,East,Kiara Mcintyre,1,154.46,154.46,0
2023-08-31,Accessories,Bag,Marc Moore,East,Tanner Mitchell DDS,3,127.6,382.8,0
2023-08-04,Accessories,Watch,Kimberly Gibson,South,Maria Parker,2,55.83,111.66,1
2023-08-03,Clothing,Sweater,Victoria Garcia,North,Maria Parker,2,22.28,44.56,0
2024-02-06,Clothing,Dress,Cameron Parker,South,Dawn Summers,1,30.85,30.85,0
2024-02-03,Footwear,Boots,Ashley Barton,East,Edward Burgess,3,104.87,314.61,0
2023-03-24,Clothing,Sweater,Cynthia Moore,West,Sara Fuller,1,102.77,102.77,0
2023-06-19,Clothing,T-shirt,Abigail Shaffer,North,Heather Fields,4,56.26,225.04,0
2024-03-03,Accessories,Sunglasses,Angela Lopez,North,Heather Fields,3,81.42,244.26,0
2024-01-06,Accessories,Watch,Dustin Jordan,West,Sara Fuller,2,84.55,169.1,1
2023-06-01,Footwear,Loafers,Judy Baker,South,Heather Fields,1,191.51,191.51,0
2024-03-23,Clothing,Jacket,Lindsay Martinez,West,Kevin Oconnor,1,189.14,189.14,0
2024-01-14,Clothing,T-shirt,Tommy Walter,South,Tanner Mitchell DDS,4,58.39,233.56,0
2023-12-06,Accessories,Bag,Joel Williams,West,Kevin Oconnor,2,58.08,116.16,0
2023-11-15,Footwear,Sneakers,Debra Morton,South,Kevin Oconnor,4,131.07,524.28,0
2023-02-28,Footwear,Loafers,Laura Roberts,West,Maria Parker,3,95.52,286.56,0
2023-12-20,Footwear,Loafers,Daniel Baker,South,Heather Fields,1,22.66,22.66,0
2023-12-23,Accessories,Watch,Mike Allen,West,Heather Fields,3,30.08,90.24,1
2023-10-30,Footwear,Loafers,Denise Jacobs,West,Dawn Summers,3,139.24,417.72,0
2024-02-03,Footwear,Sneakers,Tracy House,West,Carlos Ryan,1,151.78,151.78,0
2023-02-27,Footwear,Loafers,Tommy Walter,East,Heather Fields,3,23.54,70.62,0
2023-12-02,Footwear,Sneakers,Cynthia Rowe,South,Dawn Summers,1,106.63,106.63,0
2023-12-09,Footwear,Sneakers,Jeremy Dalton,West,Sara Fuller,3,66.34,199.02,0
2023-06-27,Accessories,Sunglasses,Angela Lopez,North,Kiara Mcintyre,3,189.04,567.12,0
2023-01-06,Accessories,Bag,Denise Davenport,West,Carlos Ryan,3,43.08,129.24,0
2024-03-21,Clothing,T-shirt,Olivia Harris,South,Kevin Oconnor,2,167.8,335.6,0
2023-06-19,Footwear,Sneakers,Mrs. Kristen Reyes,West,Sara Fuller,2,13.98,27.96,0
2023-07-26,Clothing,T-shirt,Kathryn Snyder,West,Carlos Ryan,4,180.79,723.16,0
2023-02-15,Footwear,Loafers,Jennifer Adkins,West,Heather Fields,4,128.69,514.76,0
2024-01-17,Accessories,Watch,Crystal Robinson,West,Edward Burgess,2,11.98,23.96,0
2023-01-19,Accessories,Watch,John Pierce,East,Dawn Summers,4,157.18,628.72,0
2024-03-31,Accessories,Bag,Laura Roberts,East,Kevin Oconnor,2,100.87,201.74,0
2024-02-27,Clothing,Jeans,Christopher Parker,West,Kevin Oconnor,2,161.76,323.52,0
2024-01-02,Accessories,Belt,Susan Serrano,North,Heather Fields,4,31.65,126.6,0
2024-01-24,Accessories,Bag,Noah Rhodes,East,Kevin Oconnor,4,152.13,608.52,0
2024-02-29,Accessories,Belt,Amanda Jones,East,Kiara Mcintyre,4,39.76,159.04,0
2023-12-26,Clothing,T-shirt,Zachary Ferrell,South,Carlos Ryan,1,186.34,186.34,0
2024-02-25,Accessories,Sunglasses,Shannon Jones,South,Maria Parker,1,81.44,81.44,0
2023-04-07,Clothing,Dress,Richard Rodriguez,South,Carlos Ryan,2,126.46,252.92,1
2024-01-02,Footwear,Sneakers,Melissa Martinez,North,Tanner Mitchell DDS,2,186.38,372.76,0
2024-01-31,Footwear,Loafers,Denise Davenport,West,Megan Le,3,178.52,535.56,0
2023-01-03,Accessories,Watch,Shelia Wallace,West,Edward Burgess,3,137.58,412.74,0
2023-09-18,Clothing,Sweater,Lisa Archer,North,Megan Le,3,170.84,512.52,1
2023-07-18,Accessories,Belt,Denise Davenport,West,Edward Burgess,2,130.85,261.7,0
2023-11-08,Accessories,Bag,Cheyenne Horton,East,Edward Burgess,2,169.98,339.96,0
2023-05-31,Footwear,Boots,Jordan Henderson,East,Edward Burgess,3,44.31,132.93,0
2024-03-07,Accessories,Belt,Shelia Wallace,South,Sara Fuller,4,113.56,454.24,1
2023-04-18,Accessories,Belt,Michael Elliott,South,Megan Le,2,112.52,225.04,0
2023-09-15,Accessories,Belt,John Daniel,West,Kevin Oconnor,2,35.03,70.06,0
2023-10-26,Accessories,Sunglasses,Shelly Alexander,West,Maria Parker,3,193.37,580.11,0
2024-02-18,Clothing,Sweater,Shannon Jones,West,Tanner Mitchell DDS,3,169.73,509.19,0
2023-03-16,Clothing,T-shirt,Rebecca Valencia,South,Maria Parker,3,154.06,462.18,0
2023-05-27,Accessories,Belt,Amy Silva,East,Tanner Mitchell DDS,3,66.53,199.59,0
2023-04-15,Accessories,Watch,Ashley Barton,North,Carlos Ryan,1,27.81,27.81,0
2023-11-12,Accessories,Bag,Carolyn Miller,South,Edward Burgess,1,154.61,154.61,0
2023-09-19,Accessories,Belt,Matthew Foster,West,Edward Burgess,2,116.03,232.06,0
2023-08-02,Accessories,Belt,Jessica Garcia,North,Tanner Mitchell DDS,4,148.03,592.12,1
2024-01-16,Footwear,Boots,Kirk Carter,East,Sara Fuller,4,46.85,187.4,0
2024-01-22,Accessories,Bag,Stephen Mckee,West,Maria Parker,2,48.77,97.54,0
2023-04-01,Accessories,Watch,Anna Henderson,North,Megan Le,4,164.87,659.48,0
2023-07-13,Clothing,Dress,Patricia Rodriguez,East,Kiara Mcintyre,2,77.52,155.04,0
2023-03-08,Clothing,Sweater,Elizabeth Kelley,East,Tanner Mitchell DDS,4,109.59,438.36,0
2023-08-27,Accessories,Bag,Margaret Hawkins DDS,East,Megan Le,2,16.71,33.42,0
2023-11-02,Clothing,Sweater,Brenda Hall,East,Carlos Ryan,2,152.41,304.82,0
2023-02-07,Accessories,Belt,Patrick Thornton,South,Sara Fuller,4,72.12,288.48,0
2023-09-24,Clothing,Sweater,Mike Allen,West,Edward Burgess,3,99.36,298.08,0
2023-02-17,Footwear,Boots,Sharon Cochran,East,Kevin Oconnor,2,79.98,159.96,0
2023-07-04,Footwear,Boots,Veronica Simpson,North,Carlos Ryan,4,158.28,633.12,0
2023-02-28,Accessories,Belt,Michael Bradshaw,South,Sara Fuller,2,84.39,168.78,0
2023-01-21,Accessories,Belt,Allen Rosales,West,Heather Fields,4,43.89,175.56,0
2023-05-12,Accessories,Belt,Lisa Hensley,East,Kiara Mcintyre,2,77.54,155.08,0
2023-09-21,Accessories,Sunglasses,Kimberly Gutierrez,East,Tanner Mitchell DDS,4,86.44,345.76,0
2023-11-30,Clothing,Jacket,Diane Evans,North,Heather Fields,1,132.04,132.04,0
2023-03-27,Accessories,Watch,Nathan Maldonado,South,Sara Fuller,4,52.83,211.32,0
2024-03-18,Accessories,Sunglasses,Mark Perez,West,Sara Fuller,4,124.66,498.64,0
2023-11-28,Clothing,Jeans,Lisa Hensley,East,Carlos Ryan,2,124.41,248.82,0
2023-01-20,Clothing,T-shirt,Stephanie Ross,East,Megan Le,3,104.67,314.01,0
2023-10-13,Clothing,Sweater,William Herrera,West,Maria Parker,2,142.13,284.26,0
2023-07-18,Footwear,Loafers,Jeremy Dalton,North,Kevin Oconnor,2,144.46,288.92,0
2023-07-19,Accessories,Watch,Shelly Alexander,North,Tanner Mitchell DDS,4,108.86,435.44,0
2024-01-23,Accessories,Watch,Cassandra Gaines,North,Kevin Oconnor,2,72.36,144.72,0
2023-05-29,Accessories,Belt,Angelica Tucker,West,Maria Parker,2,80.57,161.14,0
2023-07-15,Footwear,Sneakers,Kevin Walters,South,Megan Le,4,149.78,599.12,1
2023-03-11,Accessories,Sunglasses,Nathan Malone,South,Maria Parker,4,66.89,267.56,0
2023-06-02,Accessories,Belt,Connie Lawrence,South,Kiara Mcintyre,2,130.87,261.74,0
2023-03-05,Clothing,T-shirt,Margaret Coleman,West,Dawn Summers,3,140.32,420.96,1
2023-10-03,Accessories,Watch,Joshua Perry,East,Sara Fuller,4,82.93,331.72,0
2023-04-19,Footwear,Boots,Michael Evans,South,Megan Le,4,48.56,194.24,0
2023-11-12,Footwear,Boots,Brent Jordan,North,Megan Le,2,73.56,147.12,0
2024-03-11,Accessories,Sunglasses,Tammie Bright,East,Heather Fields,1,121.3,121.3,0
2023-12-10,Clothing,Jacket,Jessica Holmes,West,Sara Fuller,2,108.43,216.86,0
2023-06-19,Footwear,Boots,Larry Dixon,East,Heather Fields,1,20.67,20.67,0
2023-11-14,Clothing,Jeans,Lindsey Walker,West,Carlos Ryan,2,175.82,351.64,0
2023-06-18,Accessories,Belt,Amber Obrien,East,Megan Le,1,101.37,101.37,0
2024-02-18,Footwear,Loafers,Shirley Suarez,East,Tanner Mitchell DDS,4,101.76,407.04,0
2023-05-07,Clothing,Dress,David Douglas Jr.,South,Kevin Oconnor,4,19.47,77.88,1
2023-12-14,Accessories,Belt,Donna Landry,West,Carlos Ryan,3,93.0,279.0,0
2023-07-03,Footwear,Loafers,Jessica Garcia,South,Heather Fields,2,20.88,41.76,0
2023-11-27,Accessories,Watch,Christopher Rubio,South,Megan Le,4,35.72,142.88,0
2023-05-15,Accessories,Watch,Elizabeth Fowler,North,Tanner Mitchell DDS,4,99.69,398.76,0
2024-02-21,Accessories,Sunglasses,Evelyn Galvan,East,Tanner Mitchell DDS,4,20.84,83.36,0
2023-10-06,Accessories,Sunglasses,Angela Lopez,West,Kevin Oconnor,4,62.39,249.56,0
2023-04-25,Accessories,Belt,James Brown,North,Carlos Ryan,2,57.41,114.82,0
2023-07-23,Footwear,Sneakers,April Frost,South,Dawn Summers,2,91.49,182.98,0
2024-01-23,Accessories,Bag,Michael Bradshaw,South,Megan Le,2,22.42,44.84,0
2023-10-17,Accessories,Bag,Frank Cordova,North,Kevin Oconnor,4,18.84,75.36,0
2023-04-23,Footwear,Boots,Tricia Valencia,East,Maria Parker,3,36.46,109.38,0
2023-04-30,Clothing,Jeans,Joshua Reed,West,Kevin Oconnor,1,156.65,156.65,0
2023-08-29,Footwear,Sneakers,Margaret Hawkins DDS,North,Kevin Oconnor,3,14.15,42.45,0
2023-12-27,Accessories,Belt,Rebecca Jackson,South,Dawn Summers,4,34.32,137.28,0
2023-07-12,Accessories,Sunglasses,Samantha Garcia,North,Dawn Summers,1,19.93,19.93,0
2023-09-22,Footwear,Loafers,Garrett Lin,West,Kiara Mcintyre,4,128.64,514.56,0
2023-06-30,Footwear,Loafers,Krista Gibson,North,Dawn Summers,1,58.74,58.74,0
2023-09-14,Clothing,Dress,Zachary Ferrell,North,Sara Fuller,2,46.33,92.66,0
2023-09-21,Accessories,Belt,Evelyn Galvan,South,Megan Le,3,194.68,584.04,0
2023-03-22,Footwear,Sneakers,Ashley Waller,East,Edward Burgess,1,44.77,44.77,0
2024-01-04,Clothing,Dress,Donna Landry,South,Carlos Ryan,1,52.81,52.81,0
2023-10-30,Clothing,Dress,Jamie Arnold,North,Sara Fuller,3,139.91,419.73,0
2023-03-07,Accessories,Bag,James Brown,North,Kiara Mcintyre,4,31.81,127.24,0
2023-10-21,Clothing,T-shirt,Daniel Baker,South,Maria Parker,2,113.08,226.16,0
2023-09-22,Footwear,Sneakers,Joyce Solis,South,Heather Fields,1,113.27,113.27,0
2023-08-18,Accessories,Sunglasses,Krista Gibson,South,Megan Le,2,170.91,341.82,0
2024-03-01,Footwear,Boots,Keith Jennings,East,Megan Le,1,189.68,189.68,0
2023-03-27,Accessories,Belt,Christopher Parker,North,Dawn Summers,2,28.54,57.08,0
2023-04-28,Footwear,Loafers,Carol Tucker,North,Heather Fields,3,133.68,401.04,0
2023-04-14,Accessories,Sunglasses,Angela Lopez,North,Dawn Summers,4,159.52,638.08,0
2023-04-01,Footwear,Sneakers,Jonathan Lawrence,North,Kiara Mcintyre,3,97.26,291.78,0
2023-02-17,Footwear,Boots,Wayne Morgan,West,Tanner Mitchell DDS,3,104.48,313.44,0
2023-09-25,Footwear,Sandals,Ethan Adams,West,Kiara Mcintyre,1,41.29,41.29,0
2023-04-28,Footwear,Loafers,Robert Oconnell,North,Dawn Summers,2,153.28,306.56,0
2023-08-06,Clothing,Jacket,Shannon Rivera,North,Sara Fuller,4,176.79,707.16,0
2023-05-26,Accessories,Sunglasses,Dustin Jordan,North,Sara Fuller,4,58.54,234.16,1
2023-12-30,Accessories,Watch,John Young,North,Kiara Mcintyre,4,197.15,788.6,0
2023-09-24,Clothing,Dress,Marc Moore,West,Kevin Oconnor,3,114.98,344.94,0
2023-07-05,Clothing,Jeans,Justin Torres,East,Dawn Summers,3,182.75,548.25,0
2023-05-14,Accessories,Sunglasses,Briana Murray,East,Kevin Oconnor,4,161.69,646.76,0
2023-12-15,Footwear,Boots,Denise Mccann,West,Kiara Mcintyre,3,166.2,498.6,0
2023-04-02,Footwear,Loafers,Megan Orr,East,Maria Parker,3,93.8,281.4,0
2024-02-01,Accessories,Sunglasses,Jordan Henderson,South,Heather Fields,4,109.43,437.72,0
2023-08-17,Accessories,Bag,Danny Morgan,West,Sara Fuller,4,153.92,615.68,0
2024-02-07,Footwear,Sneakers,Michael Evans,North,Edward Burgess,4,161.6,646.4,0
2024-02-16,Clothing,Jeans,Matthew Moon,West,Dawn Summers,4,180.42,721.68,0
2023-02-15,Clothing,Jacket,Crystal Johnson,North,Kevin Oconnor,4,142.22,568.88,0
2023-11-08,Clothing,Dress,David Martinez,East,Dawn Summers,3,126.56,379.68,0
2023-12-31,Accessories,Watch,Aimee Montoya,West,Carlos Ryan,3,62.61,187.83,1
2023-01-06,Clothing,Sweater,Victoria Larson,North,Sara Fuller,1,123.64,123.64,0
2024-02-06,Accessories,Bag,Shirley Suarez,East,Tanner Mitchell DDS,4,179.86,719.44,0
2023-05-03,Accessories,Watch,Kelly Donovan,East,Heather Fields,3,69.5,208.5,0
2024-02-04,Footwear,Sandals,Elizabeth Perkins,South,Edward Burgess,2,25.86,51.72,0
2023-09-23,Clothing,T-shirt,John Pierce,East,Kiara Mcintyre,4,150.55,602.2,0
2024-01-07,Accessories,Belt,Michael Wang,South,Maria Parker,1,89.37,89.37,1
2023-11-07,Clothing,Dress,Bryan Herrera,North,Dawn Summers,1,147.79,147.79,0
2023-05-14,Clothing,Dress,Mrs. Kristen Reyes,North,Heather Fields,4,177.57,710.28,0
2023-09-15,Footwear,Sandals,John Daniel,East,Kiara Mcintyre,3,34.67,104.01,0
2024-03-24,Accessories,Belt,Kirk Carter,West,Edward Burgess,3,110.21,330.63,0
2024-01-30,Clothing,Jacket,Michael Lyons,North,Carlos Ryan,2,49.85,99.7,0
2023-09-04,Clothing,Jacket,Debra Davidson,South,Edward Burgess,3,45.61,136.83,0
2023-12-13,Accessories,Bag,Jennifer Adkins,East,Edward Burgess,4,184.46,737.84,0
2023-09-22,Accessories,Watch,Rebecca Jackson,East,Sara Fuller,4,69.73,278.92,0
2023-02-17,Footwear,Sandals,Elizabeth Fowler,South,Kiara Mcintyre,3,133.82,401.46,0
2023-09-01,Footwear,Sandals,Shannon Walker,East,Dawn Summers,4,103.9,415.6,0
2023-04-04,Accessories,Bag,Kristen Davis,South,Sara Fuller,4,109.83,439.32,0
2024-01-12,Clothing,Jacket,Marc Moore,South,Sara Fuller,4,166.94,667.76,0
2024-03-03,Clothing,Sweater,Angela Vaughn,North,Megan Le,1,89.82,89.82,1
2023-03-03,Clothing,Dress,Daniel Wagner,North,Kiara Mcintyre,3,95.57,286.71,0
2024-03-10,Footwear,Sandals,Jennifer Adkins,East,Carlos Ryan,1,92.75,92.75,0
2023-09-09,Clothing,Sweater,Christopher Rubio,South,Edward Burgess,1,169.88,169.88,0
2024-01-20,Accessories,Bag,Stephanie Ross,West,Kiara Mcintyre,3,58.26,174.78,0
2023-09-02,Accessories,Watch,Kathleen Moran,West,Kevin Oconnor,1,138.47,138.47,0
2024-03-16,Accessories,Bag,Michael Lyons,West,Heather Fields,4,10.73,42.92,0
2023-06-11,Accessories,Watch,Abigail Shaffer,West,Sara Fuller,2,172.59,345.18,0
2023-10-25,Clothing,Jacket,Dr. Hannah Patterson,East,Dawn Summers,4,23.81,95.24,0
2023-04-06,Accessories,Belt,Kenneth Scott,West,Maria Parker,3,141.89,425.67,0
2023-11-10,Footwear,Sandals,John Whitehead,West,Carlos Ryan,2,78.47,156.94,0
2023-04-18,Footwear,Sandals,Jonathan Peterson,East,Edward Burgess,1,67.75,67.75,0
2023-08-19,Clothing,Sweater,Carol Tucker,South,Dawn Summers,2,181.69,363.38,0
2024-02-21,Clothing,Jacket,Larry Dixon,West,Kiara Mcintyre,1,159.8,159.8,0
2024-03-14,Footwear,Boots,Amy Silva,West,Megan Le,2,133.65,267.3,0
2024-02-17,Clothing,Jeans,Anthony Everett,South,Carlos Ryan,3,116.48,349.44,0
2024-03-10,Accessories,Belt,Kimberly Gutierrez,East,Maria Parker,4,82.11,328.44,0
2023-10-15,Accessories,Watch,Joseph Coleman,South,Heather Fields,1,113.86,113.86,0
2023-01-31,Clothing,Jacket,Brandon Bailey MD,West,Heather Fields,2,162.45,324.9,0
2024-01-17,Footwear,Sandals,Lindsay Martinez,East,Kevin Oconnor,1,17.98,17.98,0
2023-06-26,Clothing,Dress,Connor West,South,Kevin Oconnor,2,193.59,387.18,0
2023-10-23,Accessories,Bag,Joyce Solis,East,Kevin Oconnor,1,65.52,65.52,1
2023-12-11,Accessories,Sunglasses,Michael Bradshaw,West,Heather Fields,2,142.87,285.74,0
2023-11-11,Footwear,Loafers,Amy Silva,East,Megan Le,1,192.93,192.93,0
2023-08-04,Accessories,Sunglasses,Sherri Baker,South,Heather Fields,3,129.37,388.11,0
2023-06-25,Clothing,Jacket,Lindsey Walker,East,Maria Parker,3,175.82,527.46,0
2023-11-06,Accessories,Sunglasses,David Alvarez,East,Carlos Ryan,2,32.85,65.7,0
2024-01-18,Accessories,Sunglasses,Denise Mccann,South,Megan Le,1,55.96,55.96,0
2024-03-13,Clothing,Jeans,Larry Dixon,North,Maria Parker,4,63.93,255.72,0
2023-04-18,Clothing,Dress,Crystal Robinson,North,Heather Fields,1,66.48,66.48,0
2024-03-25,Footwear,Sneakers,Michele Williams,North,Edward Burgess,2,123.77,247.54,0
2023-02-23,Footwear,Boots,Anthony Humphrey,East,Edward Burgess,4,171.93,687.72,0
2023-04-28,Clothing,Jacket,Kirk Carter,South,Megan Le,2,74.68,149.36,1
2023-09-27,Clothing,T-shirt,Derek Zuniga,East,Kevin Oconnor,3,25.0,75.0,0
2024-03-18,Footwear,Loafers,Wayne Morgan,West,Maria Parker,1,64.21,64.21,0
2023-03-11,Accessories,Bag,Laura Roberts,West,Dawn Summers,3,199.13,597.39,0
2023-09-26,Accessories,Belt,Michael Wang,South,Carlos Ryan,3,135.18,405.54,0
2024-02-17,Clothing,Dress,Jason Stein,West,Kevin Oconnor,1,123.81,123.81,0
2023-05-14,Clothing,Jacket,Connie Lawrence,South,Tanner Mitchell DDS,1,109.8,109.8,0
2023-06-26,Footwear,Loafers,Shelly Alexander,West,Tanner Mitchell DDS,3,167.56,502.68,0
2024-01-22,Footwear,Sandals,Cristian Santos,East,Edward Burgess,1,14.78,14.78,0
2023-11-02,Clothing,T-shirt,Amanda Jones,South,Kevin Oconnor,4,70.22,280.88,0
2023-07-30,Accessories,Sunglasses,Elizabeth Perkins,South,Sara Fuller,3,36.13,108.39,0
2024-01-02,Accessories,Sunglasses,Angelica Keith,East,Sara Fuller,4,94.24,376.96,0
2023-02-10,Footwear,Boots,Yvonne Burns,East,Dawn Summers,3,94.6,283.8,0
2023-05-26,Accessories,Belt,Denise Mccann,North,Sara Fuller,3,55.11,165.33,0
2023-04-04,Clothing,Jacket,Timothy Duncan,West,Carlos Ryan,4,54.5,218.0,0
2023-05-20,Accessories,Sunglasses,Aaron Wise,North,Kevin Oconnor,3,133.92,401.76,1
2023-03-19,Clothing,Sweater,Jamie Arnold,North,Megan Le,2,99.85,199.7,1
2023-05-25,Footwear,Boots,Matthew Moore,South,Tanner Mitchell DDS,4,130.48,521.92,0
2023-02-16,Clothing,T-shirt,Tanya Kim,East,Sara Fuller,1,10.55,10.55,0
2023-08-04,Footwear,Loafers,Debra Morton,North,Carlos Ryan,2,18.67,37.34,0
2023-06-19,Clothing,Jeans,Zachary Hicks,West,Maria Parker,4,99.23,396.92,0
2023-02-06,Accessories,Sunglasses,Denise Jacobs,East,Sara Fuller,1,101.59,101.59,0
2024-02-23,Footwear,Sneakers,Connor West,West,Sara Fuller,3,95.02,285.06,0
